INDIRIZZI SCHEDE A CUI SI APPLICA QUESTO DIZIONARIO,,,,,,,,,,,,,,
0x000A0441,,,,,,,,,,,,,,
OPTIMUS XP,INDIRIZZO H+L (hex),,TIPO,FORMATO,MINIMO,MASSIMO,UNITA' DI MISURA,R/W,Uso,Significato,Ubicazione in App,Nome in App,Aspetto in App,Effetti in App
Soglia di undervoltage,80,57,float,,0.0,14.0,volts,R/W,,Valore minimo di batteria (a cui ho 0% e scatto del fault),,,,
Soglia di batteria carica 100%,80,58,float,,0.0,14.0,volts,R/W,,Valore massimo di batteria (a cui ho il 100%),,,,
Non Usato,80,59,,,,,,,,,,,,
Autospegnimento in rigido,80,5A,bool,,0,1,,R/W,,"0 = sempre acceso,  1= autospegnimento ",,,,
Timer autospegni in rigido,80,5B,uint16_t,,20,600,min,R/W,,,,,,
FC alt. giu',80,5C,bool,,0,1,,R,,,,,,
FC alt. su,80,5D,bool,,0,1,,R,,,,,,
Non Usato,80,5E,bool,,0,1,,R,,,,,,
Non Usato,80,5F,bool,,0,1,,R,,,,,,
Non Usato,80,60,bool,,0,1,,R,,,,,,
Colore in Standby,80,61,uint32_t,,0,16777215,,R/W,,Colore RGB a 24 bit: 0x0RGB,,,,
Colore in Movimento,80,62,uint32_t,,0,16777215,,R/W,,Colore RGB a 24 bit: 0x0RGB,,,,
Non Usato,80,63,bool,,0,1,,R,,,,,,
Non Usato,80,64,bool,,0,1,,R,,,,,,
Non Usato,80,65,bool,,0,1,,R,,,,,,
Non Usato,80,66,bool,,0,1,,R,,,,,,
Non Usato,80,67,bool,,0,1,,R,,,,,,
Non Usato,80,68,bool,,0,1,,R,,,,,,
Non Usato,80,69,bool,,0,1,,R,,,,,,
Non Usato,80,6A,bool,,0,1,,R,,,,,,
Non Usato,80,6B,bool,,0,1,,R,,,,,,
Non Usato,80,6C,bool,,0,1,,R,,,,,,
Non Usato,80,6D,bool,,0,1,,R,,,,,,
Non Usato,80,6E,bool,,0,1,,R,,,,,,
Non Usato,80,6F,bool,,0,1,,R,,,,,,
Non Usato,80,70,bool,,0,1,,R,,,,,,
Altezza molleggio,80,71,int16_t,,,,,R/W,,Altezza di molleggio,,,,
Non Usato,80,72,bool,,0,1,,R,,,,,,
Non Usato,80,73,bool,,0,1,,R,,,,,,
Non Usato,80,74,bool,,0,1,,R,,,,,,
Non Usato,80,75,bool,,0,1,,R,,,,,,
Non Usato,80,76,bool,,0,1,,R,,,,,,
Non Usato,80,77,bool,,0,1,,R,,,,,,
Non Usato,80,78,bool,,0,1,,R,,,,,,
Non Usato,80,79,bool,,0,1,,R,,,,,,
Non Usato,80,7A,bool,,0,1,,R,,,,,,
Non Usato,80,7B,bool,,0,1,,R,,,,,,
Non Usato,80,7C,bool,,0,1,,R,,,,,,
Non Usato,80,7D,bool,,0,1,,R,,,,,,
Non Usato,80,7E,bool,,0,1,,R,,,,,,
Livello di luce barra a led,80,7F,uint8_t,,0,100,%,R/W,,Livello di luce della barra a led,,,,
Tipo di barella,80,80,uint8_t,,0,1,,R/W,,"Tipo di barella gestita: 
0 = Stryker Powerload
1 = Spark
2 = Mediroll
3 = Ferno Viper
4 = Kartsana Superbravo",,,,
Timer rilevamento apprendimento,80,81,uint16_t,,100,5000,ms,R/W,,,,,,
Velocità pompa apprendimento,80,82,int32_t,,1000,32767,,R/W,,,,,,
Velocità pompa salita molleggio,80,83,int32_t,,1000,32767,,R/W,,,,,,
