NOME COMANDO,CODICE CMD H (hex),CODICE CMD L (hex),DATI AGGIUNTIVI,,,,,,,,,,,,,,,,,,,,,,,,,,,
Termina sessione dati per gateway,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind. Aut. chi siete,0,23,IdMachineType,IdFWType_H,IdFWType_L,"0 = non resetta battezzamento
1 = resetta battezzamento",,,,,,,,,,,,,,,,,,,,,,,,
Ind. Aut. chi sono,0,24,IdMachineType,IdFWType_H,IdFWType_L,ID0_ HH,ID0_ H,ID0_ L,ID0_ LL,ID1_ HH,ID1_ H,ID1_ L,ID1_ LL,ID2_ HH,ID2_ H,ID2_ L,ID2_ LL,,,,,,,,,,,,,
Ind. Aut. battezzati,0,25,ID0_ HH,ID0_ H,ID0_ L,ID0_ LL,ID1_ HH,ID1_ H,ID1_ L,ID1_ LL,ID2_ HH,ID2_ H,ID2_ L,ID2_ LL,SP_Address_ HH,SP_Address_ H,SP_Address_ LL,SP_Address_ L,,,,,,,,,,,,
Ind. Aut. risultato battezzamento,0,26,ID0_ HH,ID0_ H,ID0_ L,ID0_ LL,ID1_ HH,ID1_ H,ID1_ L,ID1_ LL,ID2_ HH,ID2_ H,ID2_ L,ID2_ LL,"Risultato
(0 = ok, != 0 codice errore)",,,,,,,,,,,,,,,
Ind. Aut. Start,0,27,IdFWType_H,IdFWType_L,,,,,,,,,,,,,,,,,,,,,,,,,,
Up/Down da telecomando,0,28,"Stato
(0 = rilasciato, 1 = premuto)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Reset valori EEPROM al default,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reset valori EEPROM al default Risposta,80,29,"Risultato
(0 = ok, != 0 codice errore)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Esegui autotest,0,2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esegui autotest Risposta,80,2A,"Risultato
(0 = ok, != 0 codice errore)",,,,,,,,,,,,,,,,,,,,,,,,,,,
